cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std,pv (kW),battery (kWh),capital_cost (k€),o_and_m_cost (k€),battery_replacement_cost (k€),lcoe (€/kWh),salvage_value (k€),demand_year1_kwh
GHSL_1,0,136,78,0,0,0,0,0,0,0,3,8280000.0,9.975700324531696,-11.85027507467634,50.0,1071.55314064026,4873.88627392593,OM,-0.049,0.1672105166032189,66.546113,117.491237,126.0285576635474,19.18247675271615,29.194162888560935,0.6962844770299272,5.043974779900068,23658.035318755363
GHSL_2,0,67,97,0,0,0,2,0,0,0,1,4368000.0,9.956536932032485,-11.808399558707702,48.32,822.50138092041,3890.73500908425,OM,0.124,0.1672105166032189,95.965331,183.513186,211.1629065332069,32.189074878759484,46.33252895321658,0.6382563516053711,1.5720428131250588,46901.42179690777
GHSL_3,3,156,21,0,0,0,1,0,0,0,2,7908000.0,9.93377682133586,-11.284610615168573,76.26,898.769947052002,3664.57763361275,OM,-0.3,0.1285516290555013,52.707945,125.347761,127.7340916561097,19.80136977548291,33.56976162683716,0.550805251005634,1.4556509949097869,32593.651106326815
GHSL_4,1,162,46,0,0,0,1,0,0,0,2,5796000.0,9.87725813576073,-11.166169731770404,82.93,1049.27710533142,3876.33402785281,OM,-0.177,0.1285516290555013,56.509096,120.394858,131.06373563309677,19.94000617142143,35.78693526001422,0.5652572333753062,1.1608126089849369,33407.70149091236
GHSL_5,10,210,12,0,0,0,1,0,0,0,3,8124000.0,9.85547872709145,-11.321278569893376,67.62,1158.74667167664,4028.937753999,OM,-0.44,0.1285516290555013,59.387753,127.264921,136.71912055186675,20.819230898351677,36.632997216284146,0.5537396901064889,1.3793539988327657,34879.20881851304
GHSL_6,18,184,5,0,0,0,1,0,0,0,4,7752000.0,9.75451615906521,-11.193844804333809,73.81,1033.25921440125,3938.8965256488,OM,-0.544,0.1285516290555013,75.674811,447.938532,336.25626278832357,59.563883169046775,33.30591624088258,1.2958617742107117,5.22076625949546,32738.87405670524
GHSL_7,0,114,49,0,0,0,0,0,0,0,4,6936000.0,9.674986240816398,-12.2244438471273,17.6,816.897455215454,3328.08102150876,AS,-0.102,0.2210561483763842,41.337686,73.306348,83.26857470290824,11.759413817080436,21.804625861201497,0.6147173694212903,1.08526097707535,18170.797347284417
GHSL_8,5,165,14,0,0,0,2,0,0,0,1,780000.0,9.630942536924348,-11.329305926770282,54.15,917.810060501099,5163.05268473039,OM,-0.377,0.3107426642799395,52.619015,174.655835,173.36805234908775,28.15470328081213,39.09960663405804,0.644004846278869,0.1554825002809194,39567.59773965638
GHSL_9,13,155,5,0,0,0,0,0,0,0,3,8508000.0,9.630134090431088,-10.997528783738955,87.84,867.227426528931,3794.39271304032,OM,-0.521,0.1774889251460506,22.270772,219.604259,143.40560424947444,26.49497398242946,21.579467176611494,1.0178932232852689,2.1837297329194563,17494.894091700702
GHSL_10,2,99,12,0,0,0,1,0,0,0,2,5592000.0,9.571172715487611,-11.589336962579416,25.88,564.359013557434,2666.47301468195,AS,-0.322,0.436728915868345,52.377782,106.789791,118.18725811162588,17.710624298367623,25.541675751285705,0.6113216066529162,1.0138284930467625,26434.565230305907
GHSL_11,3,138,15,0,0,0,0,0,0,0,1,3480000.0,9.539981575187198,-12.26679823536087,2.49,782.704851150513,4622.09077093724,AS,-0.333,0.323633425999374,27.242445,47.832035,54.69311414875859,7.704007442854947,16.040482254093387,0.6213384283425533,0.6098611076462195,12396.638280291007
